title,url,videos,articles,problems,mcqs,category,tab
Matrix : Quiz,https://www.geeksforgeeks.org/batch/dsa-jiit/track/quiz-matrix-ct,,,,5 MCQ's,Foundation of DSA,Matrix
String : Recorded Content,https://www.geeksforgeeks.org/batch/dsa-jiit/track/string-videos-college-training,19 Videos,,,,Foundation of DSA,String
String : Article,https://www.geeksforgeeks.org/batch/dsa-jiit/track/string-notes-college-training,,12 Articles,,,Foundation of DSA,String
String : Class Room Problems,https://www.geeksforgeeks.org/batch/dsa-jiit/track/string-practice-college-training,,,3 Problems,,Foundation of DSA,String
String : Home Work Problems,https://www.geeksforgeeks.org/batch/dsa-jiit/track/string-problems-college-training,,,3 Problems,,Foundation of DSA,String
String : Quiz,https://www.geeksforgeeks.org/batch/dsa-jiit/track/quiz-string-ct,,,,10 MCQ's,Foundation of DSA,String
Mathematics : Recorded Content,https://www.geeksforgeeks.org/batch/dsa-jiit/track/maths-videos-college-training,12 Videos,,,,Foundation of DSA,Mathematics
Mathematics : Article,https://www.geeksforgeeks.org/batch/dsa-jiit/track/maths-notes-college-training,,13 Articles,,,Foundation of DSA,Mathematics
Mathematics : Class Room Problems,https://www.geeksforgeeks.org/batch/dsa-jiit/track/maths-practice-college-training,,,2 Problems,,Foundation of DSA,Mathematics
Mathematics : Home Work Problems,https://www.geeksforgeeks.org/batch/dsa-jiit/track/maths-problems-college-training,,,,,Foundation of DSA,Mathematics
Mathematics : Quiz,https://www.geeksforgeeks.org/batch/dsa-jiit/track/quiz-mathematics-ct,,,,10 MCQ's,Foundation of DSA,Mathematics
Bit Magic : Recorded Content,https://www.geeksforgeeks.org/batch/dsa-jiit/track/bitmagic-videos-college-training,12 Videos,,,,Foundation of DSA,Bit Magic
Bit Magic : Article,https://www.geeksforgeeks.org/batch/dsa-jiit/track/bitmagic-notes-college-training,,11 Articles,,,Foundation of DSA,Bit Magic
Bit Magic : Class Room Problems,https://www.geeksforgeeks.org/batch/dsa-jiit/track/bitmagic-practice-college-training,,,4 Problems,,Foundation of DSA,Bit Magic
Bit Magic : Home Work Problems,https://www.geeksforgeeks.org/batch/dsa-jiit/track/bitmagic-problems-college-training,,,3 Problems,,Foundation of DSA,Bit Magic
Bit Magic : Quiz,https://www.geeksforgeeks.org/batch/dsa-jiit/track/quiz-bit-magic-ct,,,,10 MCQ's,Foundation of DSA,Bit Magic
Stack : Recorded Videos,https://www.geeksforgeeks.org/batch/dsa-jiit/track/stack-videos-college-training,27 Videos,,,,Basic Data Structures,Stack
Stack : Article,https://www.geeksforgeeks.org/batch/dsa-jiit/track/stack-notes-college-training,,19 Articles,,,Basic Data Structures,Stack
Stack : Class Room Problems,https://www.geeksforgeeks.org/batch/dsa-jiit/track/stack-practice-college-training,,,4 Problems,,Basic Data Structures,Stack
Stack : Home Work Problems,https://www.geeksforgeeks.org/batch/dsa-jiit/track/stack-problems-college-training,,,3 Problems,,Basic Data Structures,Stack
Stack : Quiz,https://www.geeksforgeeks.org/batch/dsa-jiit/track/quiz-stack-ct,,,,10 MCQ's,Basic Data Structures,Stack
Queue : Recorded Videos,https://www.geeksforgeeks.org/batch/dsa-jiit/track/Queue-videos-college-training,9 Videos,,,,Basic Data Structures,Queue
Queue : Article,https://www.geeksforgeeks.org/batch/dsa-jiit/track/Queue-notes-college-training,,5 Articles,,,Basic Data Structures,Queue
Queue : Class Room Problems,https://www.geeksforgeeks.org/batch/dsa-jiit/track/Queue-practice-college-training,,,,,Basic Data Structures,Queue
Queue : Quiz,https://www.geeksforgeeks.org/batch/dsa-jiit/track/quiz-queue-ct,,,,10 MCQ's,Basic Data Structures,Queue
Deque : Recorded Videos,https://www.geeksforgeeks.org/batch/dsa-jiit/track/Deque-videos-college-training,8 Videos,,,,Basic Data Structures,Deque
Deque : Article,https://www.geeksforgeeks.org/batch/dsa-jiit/track/Deque-notes-college-training,,7 Articles,,,Basic Data Structures,Deque
Deque : Class Room Problems,https://www.geeksforgeeks.org/batch/dsa-jiit/track/Deque-practice-college-training,,,,,Basic Data Structures,Deque
Deque : Quiz,https://www.geeksforgeeks.org/batch/dsa-jiit/track/quiz-deque-ct,,,,10 MCQ's,Basic Data Structures,Deque
LinkedList : Recorded Videos,https://www.geeksforgeeks.org/batch/dsa-jiit/track/LinkedList-videos-college-training,54 Videos,,,,Basic Data Structures,LinkedList
LinkedList : Article,https://www.geeksforgeeks.org/batch/dsa-jiit/track/LinkedList-notes-college-training,,40 Articles,,,Basic Data Structures,LinkedList
LinkedList : Class Room Problems,https://www.geeksforgeeks.org/batch/dsa-jiit/track/LinkedList-practice-college-training,,,5 Problems,,Basic Data Structures,LinkedList
LinkedList : Home Work Problems,https://www.geeksforgeeks.org/batch/dsa-jiit/track/LinkedList-problems-college-training,,,3 Problems,,Basic Data Structures,LinkedList
LinkedList : Quiz,https://www.geeksforgeeks.org/batch/dsa-jiit/track/quiz-linked-list-ct,,,,10 MCQ's,Basic Data Structures,LinkedList
Hashing : Recorded Videos,https://www.geeksforgeeks.org/batch/dsa-jiit/track/Hashing-videos-college-training,30 Videos,,,,Basic Data Structures,Hashing
Hashing : Article,https://www.geeksforgeeks.org/batch/dsa-jiit/track/Hashing-notes-college-training,,23 Articles,,,Basic Data Structures,Hashing
Hashing : Class Room Problems,https://www.geeksforgeeks.org/batch/dsa-jiit/track/Hashing-practice-college-training,,,4 Problems,,Basic Data Structures,Hashing
Hashing : Home Work Problems,https://www.geeksforgeeks.org/batch/dsa-jiit/track/Hashing-problems-college-training,,,3 Problems,,Basic Data Structures,Hashing
Hashing : Quiz,https://www.geeksforgeeks.org/batch/dsa-jiit/track/quiz-hashing-ct,,,,10 MCQ's,Basic Data Structures,Hashing
Recursion : Recorded Videos,https://www.geeksforgeeks.org/batch/dsa-jiit/track/Recursion-videos-college-training,17 Videos,,,,Recursion & Searching/Sorting,Recursion
Recursion : Article,https://www.geeksforgeeks.org/batch/dsa-jiit/track/Recursion-notes-college-training,,12 Articles,,,Recursion & Searching/Sorting,Recursion
Recursion : Class Room Problems,https://www.geeksforgeeks.org/batch/dsa-jiit/track/Recursion-practice-college-training,,,3 Problems,,Recursion & Searching/Sorting,Recursion
Recursion : Home Work Problems,https://www.geeksforgeeks.org/batch/dsa-jiit/track/Recursion-problems-college-training,,,3 Problems,,Recursion & Searching/Sorting,Recursion
Recursion : Quiz,https://www.geeksforgeeks.org/batch/dsa-jiit/track/quiz-recursion-ct,,,,10 MCQ's,Recursion & Searching/Sorting,Recursion
Sorting : Recorded Videos,https://www.geeksforgeeks.org/batch/dsa-jiit/track/Sorting-videos-college-training,39 Videos,,,,Recursion & Searching/Sorting,Sorting
Sorting : Article,https://www.geeksforgeeks.org/batch/dsa-jiit/track/Sorting-notes-college-training,,29 Articles,,,Recursion & Searching/Sorting,Sorting
Sorting : Class Room Problems,https://www.geeksforgeeks.org/batch/dsa-jiit/track/Sorting-practice-college-training,,,4 Problems,,Recursion & Searching/Sorting,Sorting
Sorting : Home Work Problems,https://www.geeksforgeeks.org/batch/dsa-jiit/track/Sorting-problems-college-training,,,3 Problems,,Recursion & Searching/Sorting,Sorting
Sorting : Quiz,https://www.geeksforgeeks.org/batch/dsa-jiit/track/quiz-sorting-ct,,,,10 MCQ's,Recursion & Searching/Sorting,Sorting
Searching : Recorded Videos,https://www.geeksforgeeks.org/batch/dsa-jiit/track/Searching-videos-college-training,18 Videos,,,,Recursion & Searching/Sorting,Searching
Searching : Article,https://www.geeksforgeeks.org/batch/dsa-jiit/track/Searching-notes-college-training,,13 Articles,,,Recursion & Searching/Sorting,Searching
Searching : Class Room Problems,https://www.geeksforgeeks.org/batch/dsa-jiit/track/Searching-practice-college-training,,,4 Problems,,Recursion & Searching/Sorting,Searching
Searching : Home Work Problems,https://www.geeksforgeeks.org/batch/dsa-jiit/track/Searching-problems-college-training,,,2 Problems,,Recursion & Searching/Sorting,Searching
Searching : Quiz,https://www.geeksforgeeks.org/batch/dsa-jiit/track/quiz-searching-ct,,,,10 MCQ's,Recursion & Searching/Sorting,Searching
Tree : Recorded Videos,https://www.geeksforgeeks.org/batch/dsa-jiit/track/Tree-videos-college-training,30 Videos,,,,Non Linear Data Structure,Tree
Tree : Article,https://www.geeksforgeeks.org/batch/dsa-jiit/track/Tree-notes-college-training,,24 Articles,,,Non Linear Data Structure,Tree
Tree : Class Room Problems,https://www.geeksforgeeks.org/batch/dsa-jiit/track/Tree-practice-college-training,,,5 Problems,,Non Linear Data Structure,Tree
Tree : Home Work Problems,https://www.geeksforgeeks.org/batch/dsa-jiit/track/Tree-problems-college-training,,,4 Problems,,Non Linear Data Structure,Tree
Tree : Quiz,https://www.geeksforgeeks.org/batch/dsa-jiit/track/quiz-tree-ct,,,,10 MCQ's,Non Linear Data Structure,Tree
Binary Search Tree : Recorded Videos,https://www.geeksforgeeks.org/batch/dsa-jiit/track/bst-videos-college-training,28 Videos,,,,Non Linear Data Structure,Binary Search Tree
Binary Search Tree : Article,https://www.geeksforgeeks.org/batch/dsa-jiit/track/bst-notes-college-training,,16 Articles,,,Non Linear Data Structure,Binary Search Tree
Binary Search Tree : Class Room Problems,https://www.geeksforgeeks.org/batch/dsa-jiit/track/bst-practice-college-training,,,5 Problems,,Non Linear Data Structure,Binary Search Tree
Binary Search Tree : Home Work Problems,https://www.geeksforgeeks.org/batch/dsa-jiit/track/bst-problems-college-training,,,,,Non Linear Data Structure,Binary Search Tree
Binary Search Tree : Quiz,https://www.geeksforgeeks.org/batch/dsa-jiit/track/quiz-bst-ct,,,,10 MCQ's,Non Linear Data Structure,Binary Search Tree
Heap : Recorded Videos,https://www.geeksforgeeks.org/batch/dsa-jiit/track/Heap-videos-college-training,14 Videos,,,,Non Linear Data Structure,Heap
Heap : Article,https://www.geeksforgeeks.org/batch/dsa-jiit/track/Heap-notes-college-training,,11 Articles,,,Non Linear Data Structure,Heap
Heap : Class Room Problems,https://www.geeksforgeeks.org/batch/dsa-jiit/track/Heap-practice-college-training,,,3 Problems,,Non Linear Data Structure,Heap
Heap : Home Work Problems,https://www.geeksforgeeks.org/batch/dsa-jiit/track/Heap-problems-college-training,,,3 Problems,,Non Linear Data Structure,Heap
Heap : Quiz,https://www.geeksforgeeks.org/batch/dsa-jiit/track/quiz-heap-ct,,,,10 MCQ's,Non Linear Data Structure,Heap
Graph : Recorded Videos,https://www.geeksforgeeks.org/batch/dsa-jiit/track/Graph-videos-college-training,29 Videos,,,,Non Linear Data Structure,Graph
Graph : Article,https://www.geeksforgeeks.org/batch/dsa-jiit/track/Graph-notes-college-training,,20 Articles,,,Non Linear Data Structure,Graph
Graph : Class Room Problems,https://www.geeksforgeeks.org/batch/dsa-jiit/track/Graph-practice-college-training,,,5 Problems,,Non Linear Data Structure,Graph
Graph : Homework Problems,https://www.geeksforgeeks.org/batch/dsa-jiit/track/Graph-problems-college-training,,,7 Problems,,Non Linear Data Structure,Graph
Graph : Quiz,https://www.geeksforgeeks.org/batch/dsa-jiit/track/quiz-college-training,,,,10 MCQ's,Non Linear Data Structure,Graph
Greedy : Recorded Videos,https://www.geeksforgeeks.org/batch/dsa-jiit/track/Greedy-videos-college-training,12 Videos,,,,Problem-Solving Paradigm,Greedy
Greedy : Article,https://www.geeksforgeeks.org/batch/dsa-jiit/track/Greedy-notes-college-training,,5 Articles,,,Problem-Solving Paradigm,Greedy
Greedy : Class Room Problems,https://www.geeksforgeeks.org/batch/dsa-jiit/track/Greedy-practice-college-training,,,2 Problems,,Problem-Solving Paradigm,Greedy
Greedy : Home Work Problems,https://www.geeksforgeeks.org/batch/dsa-jiit/track/Greedy-problems-college-training,,,3 Problems,,Problem-Solving Paradigm,Greedy
Greedy : Quiz,https://www.geeksforgeeks.org/batch/dsa-jiit/track/quiz-greedy-ct,,,,10 MCQ's,Problem-Solving Paradigm,Greedy
Backtracking : Recorded Videos,https://www.geeksforgeeks.org/batch/dsa-jiit/track/Backtracking-videos-college-training,4 Videos,,,,Problem-Solving Paradigm,Backtracking
Backtracking : Article,https://www.geeksforgeeks.org/batch/dsa-jiit/track/Backtracking-notes-college-training,,4 Articles,,,Problem-Solving Paradigm,Backtracking
Backtracking : Class Room Problems,https://www.geeksforgeeks.org/batch/dsa-jiit/track/Backtracking-practice-college-training,,,4 Problems,,Problem-Solving Paradigm,Backtracking
Backtracking : Quiz,https://www.geeksforgeeks.org/batch/dsa-jiit/track/quiz-backtracking-ct,,,,10 MCQ's,Problem-Solving Paradigm,Backtracking
Dynamic Programming : Recorded Videos,https://www.geeksforgeeks.org/batch/dsa-jiit/track/dp-videos-college-training,31 Videos,,,,Problem-Solving Paradigm,Dynamic Programming
Dynamic Programming : Article,https://www.geeksforgeeks.org/batch/dsa-jiit/track/dp-notes-college-training,,25 Articles,,,Problem-Solving Paradigm,Dynamic Programming
Dynamic Programming : Class Room Problems,https://www.geeksforgeeks.org/batch/dsa-jiit/track/dp-practice-college-training,,,5 Problems,,Problem-Solving Paradigm,Dynamic Programming
Dynamic Programming : Home Work Problems,https://www.geeksforgeeks.org/batch/dsa-jiit/track/dp-problems-college-training,,,4 Problems,,Problem-Solving Paradigm,Dynamic Programming
Dynamic Programming : Quiz,https://www.geeksforgeeks.org/batch/dsa-jiit/track/quiz-dp-ct,,,,10 MCQ's,Problem-Solving Paradigm,Dynamic Programming
Trie : Recorded Videos,https://www.geeksforgeeks.org/batch/dsa-jiit/track/Trie-videos-college-training,4 Videos,,,,Advanced Data Structures,Trie
Trie : Article,https://www.geeksforgeeks.org/batch/dsa-jiit/track/Trie-notes-college-training,,3 Articles,,,Advanced Data Structures,Trie
Trie : Class Room Problems,https://www.geeksforgeeks.org/batch/dsa-jiit/track/Trie-practice-college-training,,,4 Problems,,Advanced Data Structures,Trie
Trie : Home Work Problems,https://www.geeksforgeeks.org/batch/dsa-jiit/track/Trie-problems-college-training,,,2 Problems,,Advanced Data Structures,Trie
Trie : Quiz,https://www.geeksforgeeks.org/batch/dsa-jiit/track/quiz-trie-ct,,,,5 MCQ's,Advanced Data Structures,Trie
Segment Tree : Recorded Videos,https://www.geeksforgeeks.org/batch/dsa-jiit/track/Segment-videos-college-training,10 Videos,,,,Advanced Data Structures,Segment and Binary Indexed Trees
Segment Tree : Article,https://www.geeksforgeeks.org/batch/dsa-jiit/track/Segment-notes-college-training,,3 Articles,,,Advanced Data Structures,Segment and Binary Indexed Trees
Segment Tree : Class Room Problems,https://www.geeksforgeeks.org/batch/dsa-jiit/track/Segment-practice-college-training,,,2 Problems,,Advanced Data Structures,Segment and Binary Indexed Trees
Segment Tree : Quiz,https://www.geeksforgeeks.org/batch/dsa-jiit/track/quiz-segment-ct,,,,5 MCQ's,Advanced Data Structures,Segment and Binary Indexed Trees
Disjoint Set : Recorded Content,https://www.geeksforgeeks.org/batch/dsa-jiit/track/ds-videos-college-training,5 Videos,,,,Advanced Data Structures,Disjoint Set
Disjoint Set : Article,https://www.geeksforgeeks.org/batch/dsa-jiit/track/ds-notes-college-training,,3 Articles,,,Advanced Data Structures,Disjoint Set
Disjoint Set : Class Room Problems,https://www.geeksforgeeks.org/batch/dsa-jiit/track/ds-practice-college-training,,,,,Advanced Data Structures,Disjoint Set
Disjoint Set : Home Work Problems,https://www.geeksforgeeks.org/batch/dsa-jiit/track/ds-problems-college-training,,,2 Problems,,Advanced Data Structures,Disjoint Set
Disjoint Set : Quiz,https://www.geeksforgeeks.org/batch/dsa-jiit/track/quiz-disjoint-set-ct,,,,5 MCQ's,Advanced Data Structures,Disjoint Set
Cognizant Mock 1,https://practice.geeksforgeeks.org/contest/cognizant-mock-1-3354,,,,,Service Based Test Series,Cognizant Mocks
Cognizant Mock 2,https://practice.geeksforgeeks.org/contest/cognizant-mock-2-3603,,,,,Service Based Test Series,Cognizant Mocks
Cognizant Mock 3,https://practice.geeksforgeeks.org/contest/cognizant-mock-3-3659,,,,,Service Based Test Series,Cognizant Mocks
Cognizant Mock 4,https://practice.geeksforgeeks.org/contest/cognizant-mock-4-3748,,,,,Service Based Test Series,Cognizant Mocks
Cognizant Mock 5,https://practice.geeksforgeeks.org/contest/cognizant-mock-5-3844,,,,,Service Based Test Series,Cognizant Mocks
Accenture Mock 1,https://practice.geeksforgeeks.org/contest/accenture-mock-1-3956,,,,,Service Based Test Series,Accenture Mocks
Accenture Mock 2,https://practice.geeksforgeeks.org/contest/accenture-mock-2-4047,,,,,Service Based Test Series,Accenture Mocks
Accenture Mock 3,https://practice.geeksforgeeks.org/contest/accenture-mock-3-4129,,,,,Service Based Test Series,Accenture Mocks
Accenture Mock 4,https://practice.geeksforgeeks.org/contest/accenture-mock-4-4216,,,,,Service Based Test Series,Accenture Mocks
Accenture Mock 5,https://practice.geeksforgeeks.org/contest/accenture-mock-5-4259,,,,,Service Based Test Series,Accenture Mocks
TCS Mock 1,https://practice.geeksforgeeks.org/contest/tcs-mock-1-4401,,,,,Service Based Test Series,TCS Mocks
TCS Mock 2,https://practice.geeksforgeeks.org/contest/tcs-mock-2-4457,,,,,Service Based Test Series,TCS Mocks
TCS Mock 3,https://practice.geeksforgeeks.org/contest/tcs-mock-3-4544,,,,,Service Based Test Series,TCS Mocks
TCS Mock 4,https://practice.geeksforgeeks.org/contest/tcs-mock-4-4628,,,,,Service Based Test Series,TCS Mocks
TCS Mock 5,https://practice.geeksforgeeks.org/contest/tcs-mock-5-4711,,,,,Service Based Test Series,TCS Mocks
Capgemini Mock 1,https://practice.geeksforgeeks.org/contest/capgemini-mock-1-4813,,,,,Service Based Test Series,Capgemini Mocks
Capgemini Mock 2,https://practice.geeksforgeeks.org/contest/capgemini-mock-2-4908,,,,,Service Based Test Series,Capgemini Mocks
Capgemini Mock 3,https://practice.geeksforgeeks.org/contest/capgemini-mock-3-4957,,,,,Service Based Test Series,Capgemini Mocks
Capgemini Mock 4,https://practice.geeksforgeeks.org/contest/capgemini-mock-4-5047,,,,,Service Based Test Series,Capgemini Mocks
Capgemini Mock 5,https://practice.geeksforgeeks.org/contest/capgemini-mock-5-5147,,,,,Service Based Test Series,Capgemini Mocks
Infosys Mocks 1,https://practice.geeksforgeeks.org/contest/hackwithinfy-mock-1-5432,,,,,Service Based Test Series,Infosys Mocks
Infosys Mocks 2,https://practice.geeksforgeeks.org/contest/hackwithinfy-mock-2-5525,,,,,Service Based Test Series,Infosys Mocks
Infosys Mocks 3,https://practice.geeksforgeeks.org/contest/hackwithinfy-mock-3-5607,,,,,Service Based Test Series,Infosys Mocks
Infosys Mocks 4,https://practice.geeksforgeeks.org/contest/hackwithinfy-mock-4-5713,,,,,Service Based Test Series,Infosys Mocks
Infosys Mocks 5,https://practice.geeksforgeeks.org/contest/hackwithinfy-mock-5-5759,,,,,Service Based Test Series,Infosys Mocks
IBM Mock 1,https://practice.geeksforgeeks.org/contest/ibm-mock-1-5903,,,,,Service Based Test Series,IBM Mocks
IBM Mock 2,https://practice.geeksforgeeks.org/contest/ibm-mock-2-5948,,,,,Service Based Test Series,IBM Mocks
IBM Mock 3,https://practice.geeksforgeeks.org/contest/ibm-mock-3-0042,,,,,Service Based Test Series,IBM Mocks
IBM Mock 4,https://practice.geeksforgeeks.org/contest/ibm-mock-4-0133,,,,,Service Based Test Series,IBM Mocks
IBM Mock 5,https://practice.geeksforgeeks.org/contest/ibm-mock-5-0222,,,,,Service Based Test Series,IBM Mocks
JP Morgan Mock 1,https://practice.geeksforgeeks.org/contest/jp-morgan-mock-1-0316,,,,,Service Based Test Series,JP Morgan Mocks
JP Morgan Mock 2,https://practice.geeksforgeeks.org/contest/jp-morgan-mock-2-0409,,,,,Service Based Test Series,JP Morgan Mocks
JP Morgan Mock 3,https://practice.geeksforgeeks.org/contest/jp-morgan-mock-3-0513,,,,,Service Based Test Series,JP Morgan Mocks
JP Morgan Mock 4,https://practice.geeksforgeeks.org/contest/jp-morgan-mock-4-1229,,,,,Service Based Test Series,JP Morgan Mocks
JP Morgan Mock 5,https://practice.geeksforgeeks.org/contest/jp-morgan-mock-5-1355,,,,,Service Based Test Series,JP Morgan Mocks
HCL Mock 1,https://practice.geeksforgeeks.org/contest/hcl-mock-1-1458,,,,,Service Based Test Series,HCL Mocks
HCL Mock 2,https://practice.geeksforgeeks.org/contest/hcl-mock-2-1625,,,,,Service Based Test Series,HCL Mocks
HCL Mock 3,https://practice.geeksforgeeks.org/contest/hcl-mock-3-1912,,,,,Service Based Test Series,HCL Mocks
HCL Mock 4,https://practice.geeksforgeeks.org/contest/hcl-mock-4-2003,,,,,Service Based Test Series,HCL Mocks
HCL Mock 5,https://practice.geeksforgeeks.org/contest/hcl-mock-5-2053,,,,,Service Based Test Series,HCL Mocks
