type,title,url,meta
quiz,Question8,https://www.geeksforgeeks.org/batch/dsa-jiit/track/foundation-cpp-operators-2/quiz/NDExMTU=,
quiz,Question9,https://www.geeksforgeeks.org/batch/dsa-jiit/track/foundation-cpp-operators-2/quiz/NDExMTY=,
quiz,Question10,https://www.geeksforgeeks.org/batch/dsa-jiit/track/foundation-cpp-operators-2/quiz/NDExMTc=,
quiz,Question1,https://www.geeksforgeeks.org/batch/dsa-jiit/track/foundation-cpp-flow-control-2/quiz/NDA3NjY=,
quiz,Question2,https://www.geeksforgeeks.org/batch/dsa-jiit/track/foundation-cpp-flow-control-2/quiz/NDA3Njc=,
quiz,Question3,https://www.geeksforgeeks.org/batch/dsa-jiit/track/foundation-cpp-flow-control-2/quiz/NDA3Njg=,
quiz,Question4,https://www.geeksforgeeks.org/batch/dsa-jiit/track/foundation-cpp-flow-control-2/quiz/NDA3Njk=,
quiz,Question5,https://www.geeksforgeeks.org/batch/dsa-jiit/track/foundation-cpp-flow-control-2/quiz/NDA3NzA=,
quiz,Question6,https://www.geeksforgeeks.org/batch/dsa-jiit/track/foundation-cpp-flow-control-2/quiz/NDA3NzE=,
quiz,Question7,https://www.geeksforgeeks.org/batch/dsa-jiit/track/foundation-cpp-flow-control-2/quiz/NDA3NzI=,
quiz,Question8,https://www.geeksforgeeks.org/batch/dsa-jiit/track/foundation-cpp-flow-control-2/quiz/NDA3NzM=,
quiz,Question9,https://www.geeksforgeeks.org/batch/dsa-jiit/track/foundation-cpp-flow-control-2/quiz/NDA3NzQ=,
quiz,Question10,https://www.geeksforgeeks.org/batch/dsa-jiit/track/foundation-cpp-flow-control-2/quiz/NDA3NzU=,
quiz,Question1,https://www.geeksforgeeks.org/batch/dsa-jiit/track/foundation-cpp-loops-2/quiz/NDA3NTQ=,
quiz,Question2,https://www.geeksforgeeks.org/batch/dsa-jiit/track/foundation-cpp-loops-2/quiz/NDA3NTY=,
quiz,Question3,https://www.geeksforgeeks.org/batch/dsa-jiit/track/foundation-cpp-loops-2/quiz/NDA3NTc=,
quiz,Question4,https://www.geeksforgeeks.org/batch/dsa-jiit/track/foundation-cpp-loops-2/quiz/NDA3NTg=,
quiz,Question5,https://www.geeksforgeeks.org/batch/dsa-jiit/track/foundation-cpp-loops-2/quiz/NDA3NTk=,
quiz,Question6,https://www.geeksforgeeks.org/batch/dsa-jiit/track/foundation-cpp-loops-2/quiz/NDA3NjA=,
quiz,Question7,https://www.geeksforgeeks.org/batch/dsa-jiit/track/foundation-cpp-loops-2/quiz/NDA3NjU=,
quiz,Question8,https://www.geeksforgeeks.org/batch/dsa-jiit/track/foundation-cpp-loops-2/quiz/NDA3NjI=,
quiz,Question9,https://www.geeksforgeeks.org/batch/dsa-jiit/track/foundation-cpp-loops-2/quiz/NDA3NjM=,
quiz,Question10,https://www.geeksforgeeks.org/batch/dsa-jiit/track/foundation-cpp-loops-2/quiz/NDA3NjQ=,
quiz,Question1,https://www.geeksforgeeks.org/batch/dsa-jiit/track/foundation-cpp-function-2/quiz/NDA1OTM=,
quiz,Question2,https://www.geeksforgeeks.org/batch/dsa-jiit/track/foundation-cpp-function-2/quiz/NDA1OTQ=,
quiz,Question3,https://www.geeksforgeeks.org/batch/dsa-jiit/track/foundation-cpp-function-2/quiz/NDA1OTU=,
quiz,Question4,https://www.geeksforgeeks.org/batch/dsa-jiit/track/foundation-cpp-function-2/quiz/NDA1OTY=,
quiz,Question5,https://www.geeksforgeeks.org/batch/dsa-jiit/track/foundation-cpp-function-2/quiz/NDA1OTc=,
quiz,Question6,https://www.geeksforgeeks.org/batch/dsa-jiit/track/foundation-cpp-function-2/quiz/NDA1OTg=,
quiz,Question7,https://www.geeksforgeeks.org/batch/dsa-jiit/track/foundation-cpp-function-2/quiz/NDA1OTk=,
quiz,Question8,https://www.geeksforgeeks.org/batch/dsa-jiit/track/foundation-cpp-function-2/quiz/NDA2MDA=,
quiz,Question9,https://www.geeksforgeeks.org/batch/dsa-jiit/track/foundation-cpp-function-2/quiz/NDA2MDE=,
quiz,Question10,https://www.geeksforgeeks.org/batch/dsa-jiit/track/foundation-cpp-function-2/quiz/NDA2MDI=,
quiz,Question1,https://www.geeksforgeeks.org/batch/dsa-jiit/track/foundation-cpp-array-2/quiz/NDA3NDQ=,
quiz,Question2,https://www.geeksforgeeks.org/batch/dsa-jiit/track/foundation-cpp-array-2/quiz/NDA3NDU=,
quiz,Question3,https://www.geeksforgeeks.org/batch/dsa-jiit/track/foundation-cpp-array-2/quiz/NDA3NDY=,
quiz,Question4,https://www.geeksforgeeks.org/batch/dsa-jiit/track/foundation-cpp-array-2/quiz/NDA3NDc=,
quiz,Question5,https://www.geeksforgeeks.org/batch/dsa-jiit/track/foundation-cpp-array-2/quiz/NDA3NDg=,
quiz,Question6,https://www.geeksforgeeks.org/batch/dsa-jiit/track/foundation-cpp-array-2/quiz/NDA3NDk=,
quiz,Question7,https://www.geeksforgeeks.org/batch/dsa-jiit/track/foundation-cpp-array-2/quiz/NDA3NTA=,
quiz,Question8,https://www.geeksforgeeks.org/batch/dsa-jiit/track/foundation-cpp-array-2/quiz/NDA3NTE=,
quiz,Question9,https://www.geeksforgeeks.org/batch/dsa-jiit/track/foundation-cpp-array-2/quiz/NDA3NTI=,
quiz,Question10,https://www.geeksforgeeks.org/batch/dsa-jiit/track/foundation-cpp-array-2/quiz/NDA3NTM=,
quiz,Question1,https://www.geeksforgeeks.org/batch/dsa-jiit/track/foundation-cpp-references-2/quiz/NDA1ODM=,
quiz,Question2,https://www.geeksforgeeks.org/batch/dsa-jiit/track/foundation-cpp-references-2/quiz/NDA1ODQ=,
quiz,Question3,https://www.geeksforgeeks.org/batch/dsa-jiit/track/foundation-cpp-references-2/quiz/NDA1ODU=,
quiz,Question4,https://www.geeksforgeeks.org/batch/dsa-jiit/track/foundation-cpp-references-2/quiz/NDA1ODY=,
quiz,Question5,https://www.geeksforgeeks.org/batch/dsa-jiit/track/foundation-cpp-references-2/quiz/NDA1ODc=,
quiz,Question6,https://www.geeksforgeeks.org/batch/dsa-jiit/track/foundation-cpp-references-2/quiz/NDA1ODg=,
quiz,Question7,https://www.geeksforgeeks.org/batch/dsa-jiit/track/foundation-cpp-references-2/quiz/NDA1ODk=,
quiz,Question8,https://www.geeksforgeeks.org/batch/dsa-jiit/track/foundation-cpp-references-2/quiz/NDA1OTA=,
quiz,Question9,https://www.geeksforgeeks.org/batch/dsa-jiit/track/foundation-cpp-references-2/quiz/NDA1OTE=,
quiz,Question10,https://www.geeksforgeeks.org/batch/dsa-jiit/track/foundation-cpp-references-2/quiz/NDA1OTI=,
quiz,Question1,https://www.geeksforgeeks.org/batch/dsa-jiit/track/foundation-cpp-pointers-2/quiz/NDA2ODM=,
quiz,Question2,https://www.geeksforgeeks.org/batch/dsa-jiit/track/foundation-cpp-pointers-2/quiz/NDA2ODQ=,
quiz,Question3,https://www.geeksforgeeks.org/batch/dsa-jiit/track/foundation-cpp-pointers-2/quiz/NDA2ODU=,
quiz,Question4,https://www.geeksforgeeks.org/batch/dsa-jiit/track/foundation-cpp-pointers-2/quiz/NDA2ODY=,
quiz,Question5,https://www.geeksforgeeks.org/batch/dsa-jiit/track/foundation-cpp-pointers-2/quiz/NDA2ODc=,
quiz,Question6,https://www.geeksforgeeks.org/batch/dsa-jiit/track/foundation-cpp-pointers-2/quiz/NDA2ODg=,
quiz,Question7,https://www.geeksforgeeks.org/batch/dsa-jiit/track/foundation-cpp-pointers-2/quiz/NDA2ODk=,
quiz,Question8,https://www.geeksforgeeks.org/batch/dsa-jiit/track/foundation-cpp-pointers-2/quiz/NDA2OTA=,
quiz,Question9,https://www.geeksforgeeks.org/batch/dsa-jiit/track/foundation-cpp-pointers-2/quiz/NDA2OTE=,
quiz,Question10,https://www.geeksforgeeks.org/batch/dsa-jiit/track/foundation-cpp-pointers-2/quiz/NDA2OTI=,
quiz,Question1,https://www.geeksforgeeks.org/batch/dsa-jiit/track/foundation-cpp-string-2/quiz/NDA3MzM=,
quiz,Question2,https://www.geeksforgeeks.org/batch/dsa-jiit/track/foundation-cpp-string-2/quiz/NDA3MzQ=,
quiz,Question3,https://www.geeksforgeeks.org/batch/dsa-jiit/track/foundation-cpp-string-2/quiz/NDA3MzU=,
quiz,Question4,https://www.geeksforgeeks.org/batch/dsa-jiit/track/foundation-cpp-string-2/quiz/NDA3MzY=,
quiz,Question5,https://www.geeksforgeeks.org/batch/dsa-jiit/track/foundation-cpp-string-2/quiz/NDA3Mzc=,
quiz,Question6,https://www.geeksforgeeks.org/batch/dsa-jiit/track/foundation-cpp-string-2/quiz/NDA3Mzg=,
quiz,Question7,https://www.geeksforgeeks.org/batch/dsa-jiit/track/foundation-cpp-string-2/quiz/NDA3NDM=,
quiz,Question8,https://www.geeksforgeeks.org/batch/dsa-jiit/track/foundation-cpp-string-2/quiz/NDA3NDA=,
quiz,Question9,https://www.geeksforgeeks.org/batch/dsa-jiit/track/foundation-cpp-string-2/quiz/NDA3NDE=,
quiz,Question10,https://www.geeksforgeeks.org/batch/dsa-jiit/track/foundation-cpp-string-2/quiz/NDA3NDI=,
quiz,Question1,https://www.geeksforgeeks.org/batch/dsa-jiit/track/foundation-cpp-structure-union-2/quiz/NDA3MTM=,
quiz,Question2,https://www.geeksforgeeks.org/batch/dsa-jiit/track/foundation-cpp-structure-union-2/quiz/NDA3MTQ=,
quiz,Question3,https://www.geeksforgeeks.org/batch/dsa-jiit/track/foundation-cpp-structure-union-2/quiz/NDA3MTU=,
quiz,Question4,https://www.geeksforgeeks.org/batch/dsa-jiit/track/foundation-cpp-structure-union-2/quiz/NDA3MTY=,
quiz,Question5,https://www.geeksforgeeks.org/batch/dsa-jiit/track/foundation-cpp-structure-union-2/quiz/NDA3MTc=,
quiz,Question6,https://www.geeksforgeeks.org/batch/dsa-jiit/track/foundation-cpp-structure-union-2/quiz/NDA3MTg=,
quiz,Question7,https://www.geeksforgeeks.org/batch/dsa-jiit/track/foundation-cpp-structure-union-2/quiz/NDA3MTk=,
quiz,Question8,https://www.geeksforgeeks.org/batch/dsa-jiit/track/foundation-cpp-structure-union-2/quiz/NDA3MjA=,
quiz,Question9,https://www.geeksforgeeks.org/batch/dsa-jiit/track/foundation-cpp-structure-union-2/quiz/NDA3MjE=,
quiz,Question10,https://www.geeksforgeeks.org/batch/dsa-jiit/track/foundation-cpp-structure-union-2/quiz/NDA3MjI=,
quiz,Question1,https://www.geeksforgeeks.org/batch/dsa-jiit/track/foundation-cpp-multidimension-2/quiz/MTEwOTI=,
quiz,Question2,https://www.geeksforgeeks.org/batch/dsa-jiit/track/foundation-cpp-multidimension-2/quiz/MTEwOTM=,
quiz,Question3,https://www.geeksforgeeks.org/batch/dsa-jiit/track/foundation-cpp-multidimension-2/quiz/MTEwOTU=,
quiz,Question4,https://www.geeksforgeeks.org/batch/dsa-jiit/track/foundation-cpp-multidimension-2/quiz/MTEwOTY=,
quiz,Question5,https://www.geeksforgeeks.org/batch/dsa-jiit/track/foundation-cpp-multidimension-2/quiz/NDQ0MDg=,
quiz,Question1,https://www.geeksforgeeks.org/batch/dsa-jiit/track/cpp-foundation-template-in-cpp-2/quiz/NDA2OTQ=,
quiz,Question2,https://www.geeksforgeeks.org/batch/dsa-jiit/track/cpp-foundation-template-in-cpp-2/quiz/NDA2OTU=,
quiz,Question3,https://www.geeksforgeeks.org/batch/dsa-jiit/track/cpp-foundation-template-in-cpp-2/quiz/NDA2OTY=,
quiz,Question4,https://www.geeksforgeeks.org/batch/dsa-jiit/track/cpp-foundation-template-in-cpp-2/quiz/NDA2OTc=,
quiz,Question5,https://www.geeksforgeeks.org/batch/dsa-jiit/track/cpp-foundation-template-in-cpp-2/quiz/NDA2OTg=,
quiz,Question6,https://www.geeksforgeeks.org/batch/dsa-jiit/track/cpp-foundation-template-in-cpp-2/quiz/NDA2OTk=,
quiz,Question7,https://www.geeksforgeeks.org/batch/dsa-jiit/track/cpp-foundation-template-in-cpp-2/quiz/NDA3MDA=,
quiz,Question8,https://www.geeksforgeeks.org/batch/dsa-jiit/track/cpp-foundation-template-in-cpp-2/quiz/NDA3MDE=,
quiz,Question9,https://www.geeksforgeeks.org/batch/dsa-jiit/track/cpp-foundation-template-in-cpp-2/quiz/NDA3MDI=,
quiz,Question10,https://www.geeksforgeeks.org/batch/dsa-jiit/track/cpp-foundation-template-in-cpp-2/quiz/NDA2OTM=,
quiz,Question1,https://www.geeksforgeeks.org/batch/dsa-jiit/track/foundation-cpp-oops-2/quiz/NDA3MDM=,
quiz,Question2,https://www.geeksforgeeks.org/batch/dsa-jiit/track/foundation-cpp-oops-2/quiz/NDA3MDQ=,
quiz,Question3,https://www.geeksforgeeks.org/batch/dsa-jiit/track/foundation-cpp-oops-2/quiz/NDA3MDU=,
quiz,Question4,https://www.geeksforgeeks.org/batch/dsa-jiit/track/foundation-cpp-oops-2/quiz/NDA3MDY=,
quiz,Question5,https://www.geeksforgeeks.org/batch/dsa-jiit/track/foundation-cpp-oops-2/quiz/NDA3MDc=,
quiz,Question6,https://www.geeksforgeeks.org/batch/dsa-jiit/track/foundation-cpp-oops-2/quiz/NDA3MDg=,
quiz,Question7,https://www.geeksforgeeks.org/batch/dsa-jiit/track/foundation-cpp-oops-2/quiz/NDA3MDk=,
quiz,Question8,https://www.geeksforgeeks.org/batch/dsa-jiit/track/foundation-cpp-oops-2/quiz/NDA3MTA=,
quiz,Question9,https://www.geeksforgeeks.org/batch/dsa-jiit/track/foundation-cpp-oops-2/quiz/NDA3MTE=,
quiz,Question10,https://www.geeksforgeeks.org/batch/dsa-jiit/track/foundation-cpp-oops-2/quiz/NDA3MTI=,
quiz,Question1,https://www.geeksforgeeks.org/batch/dsa-jiit/track/foundation-cpp-exception-handling/quiz/NDA1MjA=,
quiz,Question2,https://www.geeksforgeeks.org/batch/dsa-jiit/track/foundation-cpp-exception-handling/quiz/NDA1MjE=,
quiz,Question3,https://www.geeksforgeeks.org/batch/dsa-jiit/track/foundation-cpp-exception-handling/quiz/NDA1MjI=,
quiz,Question4,https://www.geeksforgeeks.org/batch/dsa-jiit/track/foundation-cpp-exception-handling/quiz/NDA1MjM=,
quiz,Question5,https://www.geeksforgeeks.org/batch/dsa-jiit/track/foundation-cpp-exception-handling/quiz/NDA1MjQ=,
quiz,Question6,https://www.geeksforgeeks.org/batch/dsa-jiit/track/foundation-cpp-exception-handling/quiz/NDA1MjU=,
quiz,Question7,https://www.geeksforgeeks.org/batch/dsa-jiit/track/foundation-cpp-exception-handling/quiz/NDA1MjY=,
